,name,rating,user_ratings_total,vicinity,price_level,url
0,Munchies,4.9,33,"957 State St, New Haven",,https://www.google.com/maps/place/?q=place_id:ChIJ7f4B1AzZ54kR4rjku4lF6tg
1,Pataka Vegetarian Indian Food,4.9,98,"140 Howe St, New Haven",1.0,https://www.google.com/maps/place/?q=place_id:ChIJ3YFL0U_Z54kRoAACeVc6bb0
2,Monterey Chicken,4.9,11,"5 Science Park, New Haven",1.0,https://www.google.com/maps/place/?q=place_id:ChIJcQzrEMzZ54kRbUGhHryqMIU
3,olea,4.7,229,"39 High St, New Haven",3.0,https://www.google.com/maps/place/?q=place_id:ChIJp_FOMLPZ54kRbW6zfFr1mjw
4,TOKA Asian Kitchen,5.0,24,"996 State St, New Haven",,https://www.google.com/maps/place/?q=place_id:ChIJX4PmvfvZ54kRpKujte6ZoI8
5,L'Orcio,4.6,285,"806 State St, New Haven",3.0,https://www.google.com/maps/place/?q=place_id:ChIJl1IGGs_Z54kRqJAkHMl2u3U
6,Cast Iron Chef Chop House & Oyster Bar,4.6,467,"660 State St, New Haven",3.0,https://www.google.com/maps/place/?q=place_id:ChIJoQmRZsnZ54kRRyt8K2T1dhA
7,Heirloom,4.4,219,"1157 Chapel St, New Haven",3.0,https://www.google.com/maps/place/?q=place_id:ChIJUUjTlLLZ54kRs4BO5t9cjV0
8,Da Legna at Nolo,4.5,1092,"687 State St, New Haven",2.0,https://www.google.com/maps/place/?q=place_id:ChIJIRqlfUTZ54kRYPg4g-_XLZs
9,Goodfellas Restaurant,4.5,867,"702 State St, New Haven",3.0,https://www.google.com/maps/place/?q=place_id:ChIJIVMZ0c7Z54kRzZ9CqJe52KU
10,Adriana's,4.6,580,"771 Grand Ave, New Haven",3.0,https://www.google.com/maps/place/?q=place_id:ChIJf-ZQaszZ54kR3A5q2ZnqYtU
11,Union League Cafe,4.6,470,"1032 Chapel St, New Haven",4.0,https://www.google.com/maps/place/?q=place_id:ChIJj9ZJRrPZ54kRXfrZx-OiVOM
12,Atelier Florian,4.4,228,"1166 Chapel St, New Haven",3.0,https://www.google.com/maps/place/?q=place_id:ChIJcwpGvLLZ54kR__XZhqsBTd4
13,Döner,4.8,62,"1209 Chapel St, New Haven",,https://www.google.com/maps/place/?q=place_id:ChIJb6xENRPZ54kRuzO_bdUtXSs
14,September in Bangkok,4.8,430,"754 State St, New Haven",2.0,https://www.google.com/maps/place/?q=place_id:ChIJcbKvpk7Z54kRg35iX3GF0MI
15,Tarry Lodge,4.5,374,"278 Park St, New Haven",3.0,https://www.google.com/maps/place/?q=place_id:ChIJtaGIObLZ54kRrPaoFjZEqOY
16,Choupette Crêperie & Cafè,4.5,360,"24 Whitney Ave, New Haven",,https://www.google.com/maps/place/?q=place_id:ChIJzyeK_cnZ54kRiZknoCtW0CE
17,Pokémoto,4.6,57,"1145 Chapel St, New Haven",,https://www.google.com/maps/place/?q=place_id:ChIJgcSe8SPZ54kRYmNusqOvIr8
18,The Neighborhood Cafe,4.8,42,"947 State St, New Haven",1.0,https://www.google.com/maps/place/?q=place_id:ChIJmWbcCHnZ54kRUn7hdEBVwEA
19,Junzi Kitchen,4.4,212,"21 Broadway, New Haven",1.0,https://www.google.com/maps/place/?q=place_id:ChIJIXjwxLPZ54kRYp9D7SC3GNs
20,Portofino's Restaurant & Bar,4.6,207,"937 State St, New Haven",2.0,https://www.google.com/maps/place/?q=place_id:ChIJ95V0y9rZ54kRZafsOCpnj4k
21,Harvest Wine Bar & Restaurant,4.3,251,"1104 Chapel St, New Haven",3.0,https://www.google.com/maps/place/?q=place_id:ChIJGb-6O7PZ54kRxWBTySsPc3s
22,Yorkside Pizza & Restaurant,4.4,530,"288 York St, New Haven",2.0,https://www.google.com/maps/place/?q=place_id:ChIJT-FM5rPZ54kRYWB-TIPWdfA
23,Costa Pizza Restaurant,4.4,113,"9 Whitney Ave #1, New Haven",,https://www.google.com/maps/place/?q=place_id:ChIJK_HP_8nZ54kRvqrcRus-hGc
24,Basil Restaurant,4.5,223,"142 Howe St, New Haven",1.0,https://www.google.com/maps/place/?q=place_id:ChIJgasOHbLZ54kRUWhPrpfj_Yg
25,Christopher Martins Restaurant,4.2,241,"860 State St, New Haven",2.0,https://www.google.com/maps/place/?q=place_id:ChIJUbJShM_Z54kR_Cj8dWEqjPQ
26,Zoi's,4.8,282,"63 Grove St, New Haven",,https://www.google.com/maps/place/?q=place_id:ChIJS9yWGMrZ54kR8MqcUmwsrDk
27,Barracuda Bistro & Bar,4.4,694,"1180 Chapel St, New Haven",2.0,https://www.google.com/maps/place/?q=place_id:ChIJOSSymLLZ54kRdyYNW9eLSDU
28,Caffe Bravo,4.7,135,"794 Orange St, New Haven",2.0,https://www.google.com/maps/place/?q=place_id:ChIJzxvtw8LZ54kRI_TmytRWXKo
29,Ricky D's Rib Shack,4.6,280,"302 Winchester Ave, New Haven",,https://www.google.com/maps/place/?q=place_id:ChIJFTlGNKXf54kRMdFnY-uy6CY
30,Menya Gumi,4.9,70,"165 Orange St, New Haven",,https://www.google.com/maps/place/?q=place_id:ChIJd2641MbZ54kROlqZzkaEsp4
31,Haven Hot Chicken,4.6,150,"21 Whitney Ave, New Haven",,https://www.google.com/maps/place/?q=place_id:ChIJ-9De83bZ54kREUzqbUKIteU
32,Claire's Corner Copia,4.4,1048,"1000 Chapel St, New Haven",2.0,https://www.google.com/maps/place/?q=place_id:ChIJq6raUbPZ54kRvxjamtKKLkM
33,Sherkaan Indian Street Food,4.4,374,"65 Broadway, New Haven",2.0,https://www.google.com/maps/place/?q=place_id:ChIJY_uo0pvZ54kRTI2CEfyor2U
34,Mamoun's Falafel Restaurant,4.2,1097,"85 Howe St, New Haven",1.0,https://www.google.com/maps/place/?q=place_id:ChIJN-hQga3Z54kRxreqU91FKIg
35,Sitar Restaurant,4.4,329,"45 Grove St, New Haven",2.0,https://www.google.com/maps/place/?q=place_id:ChIJ54HzGcrZ54kR3vHfVDiSqqs
36,Basta Trattoria,4.4,123,"1006 Chapel St, New Haven",2.0,https://www.google.com/maps/place/?q=place_id:ChIJP_EVULPZ54kRzk5Z8pIlacg
37,Town Pizza,4.4,38,"25 Whitney Ave, New Haven",1.0,https://www.google.com/maps/place/?q=place_id:ChIJ91N1_snZ54kRLKh-ZsSoYeg
38,El Segundo New Haven,4.3,72,"367 Orange St, New Haven",,https://www.google.com/maps/place/?q=place_id:ChIJoUBSVBbZ54kRBSJpm4hQRak
39,Patricia's Restaurant,4.3,126,"18 Whalley Ave, New Haven",,https://www.google.com/maps/place/?q=place_id:ChIJTUM77rHZ54kRGxlhYdgt8g8
40,ZINC New Haven,4.5,342,"964 Chapel St, New Haven",3.0,https://www.google.com/maps/place/?q=place_id:ChIJjeSjrrTZ54kRlHCf9kqHZHU
41,Yamasaki Teriyaki,4.4,39,"9 Dixwell Ave, New Haven",,https://www.google.com/maps/place/?q=place_id:ChIJux8oR23Z54kRwTSc4-lEULs
42,Archie Moore's,4.4,740,"188 1/2 Willow St, New Haven",2.0,https://www.google.com/maps/place/?q=place_id:ChIJ3_pVKd_Z54kR3VjB1dRwQDY
43,POKEMOTO,4.5,197,"99 Audubon St, New Haven",,https://www.google.com/maps/place/?q=place_id:ChIJEayJ58nZ54kRXIrlv542sRQ
44,Pad Thai Restaurant,4.2,193,"1170 Chapel St, New Haven",1.0,https://www.google.com/maps/place/?q=place_id:ChIJI2LxlrLZ54kRJgW9AnZZVxU
45,Louis' Lunch,4.4,1513,"261 Crown St, New Haven",1.0,https://www.google.com/maps/place/?q=place_id:ChIJLYyTxUzY54kRl1DVQ7MjH8c
46,Pacifico,4.3,658,"220 College St, New Haven",2.0,https://www.google.com/maps/place/?q=place_id:ChIJI7dOuEzY54kRRnS50NhTKEo
47,Jordans Hot Dogs,4.5,274,"970 State St, New Haven",1.0,https://www.google.com/maps/place/?q=place_id:ChIJSasxydrZ54kR5T-hSZq78ms
48,Big Green Truck Takeout,4.9,48,"175 Humphrey St, New Haven",2.0,https://www.google.com/maps/place/?q=place_id:ChIJM77RhX_Z54kRo32uystSzHU
